DATE,NAME,TMAX,TMIN,TAVG,PRCP,AWND,SNOW
2022-01-01,"NY CITY CENTRAL PARK, NY US",56.0,50.0,53.0,0.79,3.13,0.0
2022-01-02,"NY CITY CENTRAL PARK, NY US",59.0,37.0,48.0,0.04,5.82,0.0
2022-01-03,"NY CITY CENTRAL PARK, NY US",37.0,22.0,29.5,0.0,9.84,0.0
2022-01-04,"NY CITY CENTRAL PARK, NY US",34.0,19.0,26.5,0.0,6.04,0.0
2022-01-05,"NY CITY CENTRAL PARK, NY US",47.0,31.0,39.0,0.23,5.59,0.0
2022-01-06,"NY CITY CENTRAL PARK, NY US",41.0,34.0,37.5,0.0,6.49,0.0
2022-01-07,"NY CITY CENTRAL PARK, NY US",34.0,25.0,29.5,0.38,8.72,5.8
2022-01-08,"NY CITY CENTRAL PARK, NY US",30.0,20.0,25.0,0.0,6.04,0.0
2022-01-09,"NY CITY CENTRAL PARK, NY US",40.0,29.0,34.5,0.1,8.5,0.0
2022-01-10,"NY CITY CENTRAL PARK, NY US",40.0,24.0,32.0,0.0,8.5,0.0
2022-01-11,"NY CITY CENTRAL PARK, NY US",24.0,15.0,19.5,0.0,7.38,0.0
2022-01-12,"NY CITY CENTRAL PARK, NY US",40.0,20.0,30.0,0.0,6.04,0.0
2022-01-13,"NY CITY CENTRAL PARK, NY US",48.0,34.0,41.0,0.0,3.13,0.0
2022-01-14,"NY CITY CENTRAL PARK, NY US",43.0,21.0,32.0,0.0,8.28,0.0
2022-01-15,"NY CITY CENTRAL PARK, NY US",21.0,10.0,15.5,0.0,7.16,0.0
2022-01-16,"NY CITY CENTRAL PARK, NY US",37.0,10.0,23.5,0.37,8.5,0.8
2022-01-17,"NY CITY CENTRAL PARK, NY US",44.0,34.0,39.0,1.16,10.07,0.0
2022-01-18,"NY CITY CENTRAL PARK, NY US",36.0,29.0,32.5,0.0,9.17,0.0
2022-01-19,"NY CITY CENTRAL PARK, NY US",49.0,28.0,38.5,0.0,6.71,0.0
2022-01-20,"NY CITY CENTRAL PARK, NY US",46.0,22.0,34.0,0.3,6.71,0.0
2022-01-21,"NY CITY CENTRAL PARK, NY US",22.0,14.0,18.0,0.0,7.83,0.0
2022-01-22,"NY CITY CENTRAL PARK, NY US",29.0,13.0,21.0,0.0,5.59,0.0
2022-01-23,"NY CITY CENTRAL PARK, NY US",37.0,24.0,30.5,0.02,5.37,0.2
2022-01-24,"NY CITY CENTRAL PARK, NY US",36.0,26.0,31.0,0.0,4.25,0.0
2022-01-25,"NY CITY CENTRAL PARK, NY US",42.0,28.0,35.0,0.0,5.82,0.0
2022-01-26,"NY CITY CENTRAL PARK, NY US",28.0,20.0,24.0,0.0,6.26,0.0
2022-01-27,"NY CITY CENTRAL PARK, NY US",32.0,17.0,24.5,0.0,5.37,0.0
2022-01-28,"NY CITY CENTRAL PARK, NY US",32.0,29.0,30.5,0.13,4.7,1.2
2022-01-29,"NY CITY CENTRAL PARK, NY US",29.0,12.0,20.5,0.77,12.53,7.3
2022-01-30,"NY CITY CENTRAL PARK, NY US",26.0,12.0,19.0,0.0,6.93,0.0
2022-01-31,"NY CITY CENTRAL PARK, NY US",31.0,21.0,26.0,0.0,3.8,0.0
2022-02-01,"NY CITY CENTRAL PARK, NY US",36.0,23.0,29.5,0.0,5.14,0.0
2022-02-02,"NY CITY CENTRAL PARK, NY US",47.0,32.0,39.5,0.0,2.91,0.0
2022-02-03,"NY CITY CENTRAL PARK, NY US",52.0,42.0,47.0,0.42,3.8,0.0
2022-02-04,"NY CITY CENTRAL PARK, NY US",57.0,26.0,41.5,0.72,6.71,0.0
2022-02-05,"NY CITY CENTRAL PARK, NY US",27.0,19.0,23.0,0.0,8.72,0.0
2022-02-06,"NY CITY CENTRAL PARK, NY US",30.0,17.0,23.5,0.0,4.7,0.0
2022-02-07,"NY CITY CENTRAL PARK, NY US",37.0,30.0,33.5,0.15,3.58,0.0
2022-02-08,"NY CITY CENTRAL PARK, NY US",45.0,32.0,38.5,0.07,6.71,0.0
2022-02-09,"NY CITY CENTRAL PARK, NY US",46.0,29.0,37.5,0.0,4.03,0.0
2022-02-10,"NY CITY CENTRAL PARK, NY US",54.0,37.0,45.5,0.0,5.14,0.0
2022-02-11,"NY CITY CENTRAL PARK, NY US",57.0,38.0,47.5,0.0,5.14,0.0
2022-02-12,"NY CITY CENTRAL PARK, NY US",59.0,42.0,50.5,0.0,7.61,0.0
2022-02-13,"NY CITY CENTRAL PARK, NY US",42.0,25.0,33.5,0.23,6.71,1.6
2022-02-14,"NY CITY CENTRAL PARK, NY US",25.0,16.0,20.5,0.0,8.72,0.0
